rank 0: start pid=509592 shape=mixed_p2p_collective
rank 0: round 13400 ok checksum=13943231248877565352
rank 0: round 13425 ok checksum=9433550300467721398
rank 0: round 13450 ok checksum=6183130774763043360
rank 0: round 13475 ok checksum=14257277388740197188
rank 0: round 13500 ok checksum=12764369016215284988
rank 0: round 13525 ok checksum=1799305793300742838
rank 0: round 13550 ok checksum=16373530295822037276
rank 0: round 13575 ok checksum=2442683521719191020
rank 0: round 13600 ok checksum=55489769733069408
rank 0: round 13625 ok checksum=16385447241897922758
rank 0: round 13650 ok checksum=647780262975088040
rank 0: round 13675 ok checksum=5723910436511676452
rank 0: round 13700 ok checksum=167820705341272262
rank 0: round 13725 ok checksum=6336304548867134586
rank 0: round 13750 ok checksum=15034303390625779338
rank 0: round 13775 ok checksum=17509978863654653748
rank 0: round 13800 ok checksum=6330791730198026770
rank 0: round 13825 ok checksum=2849275932441912626
rank 0: round 13850 ok checksum=531200094006227262
rank 0: round 13875 ok checksum=17147419283409880148
rank 0: round 13900 ok checksum=9638705449479322350
rank 0: round 13925 ok checksum=288050139682456442
rank 0: round 13950 ok checksum=1686562249903759106
rank 0: round 13975 ok checksum=8746754288403913348
rank 0: round 14000 ok checksum=586004755447725658
rank 0: round 14025 ok checksum=649287627291646756
rank 0: round 14050 ok checksum=3049999715928593466
rank 0: round 14075 ok checksum=5246744082597221722
rank 0: round 14100 ok checksum=18242870906324068798
rank 0: round 14125 ok checksum=7981099704727268276
rank 0: round 14150 ok checksum=1334208575758937030
rank 0: round 14175 ok checksum=13468247392308261650
rank 0: round 14200 ok checksum=15865455792047802418
rank 0: round 14225 ok checksum=10942680603967709524
rank 0: round 14250 ok checksum=14946189647447582178
rank 0: round 14275 ok checksum=5462624354478327130
rank 0: round 14300 ok checksum=14332377898345602230
rank 0: round 14325 ok checksum=7901805036977946372
rank 0: round 14350 ok checksum=17531337639416966528
rank 0: round 14375 ok checksum=7332350831987603910
rank 0: round 14400 ok checksum=4884788480520984080
rank 0: round 14425 ok checksum=18067740883412351500
rank 0: round 14450 ok checksum=16390280123128784004
rank 0: round 14475 ok checksum=1035585995875688374
