rank 0: start pid=520276 shape=noncommutative
rank 0: round 10375 ok checksum=7501439187952905763
rank 0: round 10400 ok checksum=149096233875193966
rank 0: round 10425 ok checksum=8676347795263517545
rank 0: round 10450 ok checksum=11234184039093696144
rank 0: round 10475 ok checksum=13923683728179287219
rank 0: round 10500 ok checksum=8329669173680345646
rank 0: round 10525 ok checksum=4387992521861235238
rank 0: round 10550 ok checksum=17577214964584548330
rank 0: round 10575 ok checksum=14331844301880694993
rank 0: round 10600 ok checksum=8608799768239374626
rank 0: round 10625 ok checksum=17412932204624959012
rank 0: round 10650 ok checksum=16140020633991619972
rank 0: round 10675 ok checksum=13438630496024975776
rank 0: round 10700 ok checksum=18369679170694321361
rank 0: round 10725 ok checksum=5261287088925039148
rank 0: round 10750 ok checksum=8145483567779790114
rank 0: round 10775 ok checksum=1301695603581576973
rank 0: round 10800 ok checksum=14670097359393833361
rank 0: round 10825 ok checksum=4094713943879959769
rank 0: round 10850 ok checksum=17562758373889618549
rank 0: round 10875 ok checksum=11761367083450364320
rank 0: round 10900 ok checksum=12384202104773620175
rank 0: round 10925 ok checksum=7680245089307076868
rank 0: round 10950 ok checksum=1497454854909872498
rank 0: round 10975 ok checksum=5452690036272457218
rank 0: round 11000 ok checksum=8940030982760308253
rank 0: round 11025 ok checksum=9114728280924632342
rank 0: round 11050 ok checksum=6106307540595177881
rank 0: round 11075 ok checksum=16450162471423834702
rank 0: round 11100 ok checksum=13996849938077918722
rank 0: round 11125 ok checksum=417017920596518952
rank 0: round 11150 ok checksum=9632507313492771437
rank 0: round 11175 ok checksum=2977120851904787899
rank 0: round 11200 ok checksum=16639829535557742164
rank 0: round 11225 ok checksum=8532720812369438023
rank 0: round 11250 ok checksum=15912651431210641809
rank 0: round 11275 ok checksum=5083636176227254773
rank 0: round 11300 ok checksum=6918101670814316727
rank 0: round 11325 ok checksum=2298107013305012429
rank 0: round 11350 ok checksum=13892608353106861820
rank 0: round 11375 ok checksum=14503855419666495381
rank 0: round 11400 ok checksum=671192361221617521
rank 0: round 11425 ok checksum=12227162578745012355
rank 0: round 11450 ok checksum=10408097218186687661
rank 0: round 11475 ok checksum=14537490836309105866
rank 0: round 11500 ok checksum=8441008437837453258
rank 0: round 11525 ok checksum=573594633948004761
rank 0: round 11550 ok checksum=11330078320480941705
rank 0: round 11575 ok checksum=4122586332384598213
rank 0: round 11600 ok checksum=9633631852216112189
rank 0: round 11625 ok checksum=7863286697360988866
rank 0: round 11650 ok checksum=17493677052456492503
rank 0: round 11675 ok checksum=4868376149063869055
rank 0: round 11700 ok checksum=14301762655614949609
rank 0: round 11725 ok checksum=10124057320954434327
rank 0: round 11750 ok checksum=16007705560929829117
rank 0: round 11775 ok checksum=14937639725233968277
rank 0: round 11800 ok checksum=13894356376905732949
rank 0: round 11825 ok checksum=15185653368592756729
rank 0: round 11850 ok checksum=10254931776293136505
rank 0: round 11875 ok checksum=9729178415816849744
rank 0: round 11900 ok checksum=16560087647427301396
rank 0: round 11925 ok checksum=1424111821810192461
rank 0: round 11950 ok checksum=10085917515107677954
rank 0: round 11975 ok checksum=16612598509699405256
rank 0: round 12000 ok checksum=10521305635495604392
rank 0: round 12025 ok checksum=14979492014289050850
rank 0: round 12050 ok checksum=6662539717765659988
rank 0: round 12075 ok checksum=3277759503394659959
rank 0: round 12100 ok checksum=14405095207262723369
rank 0: round 12125 ok checksum=16321224301064780757
rank 0: round 12150 ok checksum=5637183983995860512
rank 0: round 12175 ok checksum=1275409639110057324
rank 0: round 12200 ok checksum=13854259258739078622
rank 0: round 12225 ok checksum=8370688721100149647
rank 0: round 12250 ok checksum=5027869921558553682
rank 0: round 12275 ok checksum=1776631978941379968
rank 0: round 12300 ok checksum=17973375924170733140
rank 0: round 12325 ok checksum=391152045057363318
rank 0: round 12350 ok checksum=16636366617509242446
rank 0: round 12375 ok checksum=7920366044722650045
rank 0: round 12400 ok checksum=13767057123989782185
rank 0: round 12425 ok checksum=2907762356874141136
rank 0: round 12450 ok checksum=4995872713909089718
rank 0: round 12475 ok checksum=990143895887098654
rank 0: round 12500 ok checksum=14034827928824627715
rank 0: round 12525 ok checksum=2942723187243521016
rank 0: round 12550 ok checksum=8237631482995432962
rank 0: round 12575 ok checksum=3211501616898704599
rank 0: round 12600 ok checksum=17589089659424332429
rank 0: round 12625 ok checksum=12721351803402194463
rank 0: round 12650 ok checksum=11015154312268280720
rank 0: round 12675 ok checksum=15212229338611908597
rank 0: round 12700 ok checksum=1239523476037418073
rank 0: round 12725 ok checksum=5238684188186461425
rank 0: round 12750 ok checksum=8400305572462393499
rank 0: round 12775 ok checksum=10153454899056524844
rank 0: round 12800 ok checksum=15541282528109292671
rank 0: round 12825 ok checksum=1757011527767759853
rank 0: round 12850 ok checksum=9756571139352067620
rank 0: round 12875 ok checksum=17951773408249157799
rank 0: round 12900 ok checksum=3339812021580394796
rank 0: round 12925 ok checksum=617245886625425538
rank 0: round 12950 ok checksum=5378821190342592904
rank 0: round 12975 ok checksum=6685251139135990820
rank 0: round 13000 ok checksum=17233795588284954629
rank 0: round 13025 ok checksum=11459095841640322696
rank 0: round 13050 ok checksum=15250033833839614583
rank 0: round 13075 ok checksum=6127280272882844606
rank 0: round 13100 ok checksum=16083254666599894179
rank 0: round 13125 ok checksum=4559127550283020643
rank 0: round 13150 ok checksum=7797968949722040623
rank 0: round 13175 ok checksum=4502908035703167838
rank 0: round 13200 ok checksum=10472598687034747545
rank 0: round 13225 ok checksum=854452088412651299
rank 0: round 13250 ok checksum=4397887574716310347
rank 0: round 13275 ok checksum=17430787323505109871
rank 0: round 13300 ok checksum=393921943094049042
rank 0: round 13325 ok checksum=3921874319209411509
rank 0: round 13350 ok checksum=14937364953744205863
rank 0: round 13375 ok checksum=14348600515339287386
rank 0: round 13400 ok checksum=6681759031413784716
rank 0: round 13425 ok checksum=2938952145666627804
rank 0: round 13450 ok checksum=4855698065685807296
rank 0: round 13475 ok checksum=3653756846414891379
rank 0: round 13500 ok checksum=8905915310644523248
rank 0: round 13525 ok checksum=7719246261644333421
rank 0: round 13550 ok checksum=15330880084770314339
rank 0: round 13575 ok checksum=7088150177935196859
rank 0: round 13600 ok checksum=3566813204838139612
rank 0: round 13625 ok checksum=12865173771793342557
rank 0: round 13650 ok checksum=13475279481244943332
rank 0: round 13675 ok checksum=11146611750598790689
rank 0: round 13700 ok checksum=7787772965647124943
rank 0: round 13725 ok checksum=15549119272657805757
rank 0: round 13750 ok checksum=9128175086371379653
rank 0: round 13775 ok checksum=14451106794645485786
rank 0: round 13800 ok checksum=12789908909026669348
rank 0: round 13825 ok checksum=3652331403544237055
rank 0: round 13850 ok checksum=5017084856418999153
rank 0: round 13875 ok checksum=17639519475849345597
rank 0: round 13900 ok checksum=12160159175696653251
rank 0: round 13925 ok checksum=13211319369282465429
rank 0: round 13950 ok checksum=5194058365016012268
rank 0: round 13975 ok checksum=17702381573730831085
rank 0: round 14000 ok checksum=12574109785675592109
rank 0: round 14025 ok checksum=7287572989347268903
rank 0: round 14050 ok checksum=199511908094539001
rank 0: round 14075 ok checksum=1507326323525147706
rank 0: round 14100 ok checksum=5048098120700620622
rank 0: round 14125 ok checksum=13647640985849182853
rank 0: round 14150 ok checksum=12540666397074291229
rank 0: round 14175 ok checksum=4871740516405049921
rank 0: round 14200 ok checksum=11602018840189664869
rank 0: round 14225 ok checksum=14627348325988958766
rank 0: round 14250 ok checksum=2193336607319162859
rank 0: round 14275 ok checksum=14787972437790496532
rank 0: round 14300 ok checksum=6794946960094200764
rank 0: round 14325 ok checksum=5061204538959436786
